ax,ay,az,accTotal,accChange,label
-0.4353,-0.3799,0.3188,0.6599,1.5947,accident
-0.9053,1.2559,-0.0256,1.5483,0.8884,accident
1.9999,-2.0000,1.9999,3.4640,1.9157,accident
-1.4365,1.4771,-0.6301,2.1546,1.3094,accident
0.3965,-0.8340,1.1382,1.4657,0.6889,accident
-1.6050,0.6179,-0.1147,1.7236,0.2580,accident
0.5928,-0.2175,0.5017,0.8065,0.9172,accident
-1.0813,-0.2979,0.4524,1.2094,0.4029,accident
0.5010,-0.1060,0.3865,0.6415,0.5678,accident
-0.2100,-0.1814,0.3845,0.4742,0.1674,accident
-0.2380,-0.5664,0.6228,0.8748,0.4007,accident
0.4814,-0.3938,0.5737,0.8462,0.0287,accident
-0.5518,-0.7654,0.7466,1.2032,0.3570,accident
1.8643,-0.3154,0.9268,2.1057,0.9025,accident
-1.8989,-0.9509,1.2048,2.4417,0.3360,accident
1.9999,0.0220,1.1636,2.3139,0.1278,accident
-2.0000,-0.7327,1.0623,2.3802,0.0663,accident
1.9999,0.1772,0.8025,2.1622,0.2180,accident
-2.0000,-0.3660,0.4792,2.0889,0.0733,accident
0.6470,-0.1428,0.4421,0.7965,1.2924,accident
-0.6602,-0.3267,0.3938,0.8352,0.0387,accident
0.4736,-0.4763,0.5413,0.8627,0.0274,accident
-0.1729,-0.3862,0.4128,0.5912,0.2715,accident
0.4033,-0.4268,0.6013,0.8405,0.2493,accident
-0.0703,-0.4324,0.4365,0.6184,0.2220,accident
0.0776,-0.6057,0.5352,0.8120,0.1936,accident
0.3848,-0.2483,0.4541,0.6449,0.1671,accident
-0.1445,-0.7520,0.7151,1.0477,0.4028,accident
0.9043,-0.2991,0.8450,1.2733,0.2256,accident
-0.3330,-0.7427,0.7908,1.1348,0.1384,accident
0.8621,-0.2229,0.7058,1.1362,0.0014,accident
-0.4556,-0.8271,0.8875,1.2959,0.1596,accident
1.2385,-0.3149,0.9182,1.5736,0.2777,accident
0.4294,-0.1885,0.8584,0.9782,0.5955,accident
-0.9255,0.8110,-0.3813,1.2883,0.3102,accident
0.5327,-0.9055,1.4407,1.7831,0.4947,accident
-0.0696,-0.0237,1.0669,1.0694,0.7136,accident
-0.2605,0.1829,0.3596,0.4802,0.5892,accident
0.3665,-0.4202,1.1436,1.2722,0.7920,accident
-0.7090,1.1250,-0.2581,1.3546,0.0824,accident
1.9999,-2.0000,1.9999,3.4640,2.1095,accident
-0.1768,0.6611,0.2725,0.7366,2.7274,accident
-0.8152,-1.6282,0.6050,1.9187,1.1821,accident
-0.0793,0.0950,0.3018,0.3261,1.5926,accident
-0.6182,-0.5535,0.3735,0.9099,0.5838,accident
0.0605,-0.0159,0.6899,0.6928,0.2172,accident
-0.2502,0.7480,0.1323,0.7998,0.1070,accident
-0.4270,-0.6855,1.1360,1.3938,0.5940,accident
-0.1860,0.6001,0.0891,0.6346,0.7593,accident
1.6606,-0.6562,1.9999,2.6811,2.0465,accident
-0.2756,0.9053,-0.4514,1.0485,1.6326,accident
1.2727,-1.1965,1.9999,2.6554,1.6070,accident
0.1433,1.1772,-0.1975,1.2023,1.4531,accident
-0.1519,-1.0249,1.1541,1.5509,0.3486,accident
-0.5396,1.2922,-0.1538,1.4088,0.1421,accident
0.6782,-0.8535,1.7122,2.0298,0.6210,accident
-0.0391,0.2749,0.6230,0.6821,1.3477,accident
-1.0701,0.2534,-0.1472,1.1095,0.4274,accident
0.7427,-0.5278,0.8567,1.2506,0.1412,accident
-2.0000,-0.0149,0.8857,2.1874,0.9368,accident
1.9999,-0.8164,1.2910,2.5165,0.3291,accident
-1.5691,-0.9460,0.6497,1.9440,0.5726,accident
1.9812,-0.5896,1.0105,2.3008,0.3569,accident
-1.7246,-0.9458,0.9988,2.2060,0.0949,accident
1.8618,-0.2632,1.1079,2.1825,0.0235,accident
-1.2302,-1.0383,0.9263,1.8573,0.3252,accident
1.8230,-0.2964,1.0691,2.1340,0.2767,accident
-1.5742,-1.1006,1.0222,2.1759,0.0418,accident
1.2639,-0.1797,0.8022,1.5078,0.6681,accident
-0.9121,-0.9028,0.7397,1.4813,0.0265,accident
1.4529,-0.3784,0.8052,1.7036,0.2223,accident
-0.8513,-1.0034,0.7087,1.4946,0.2090,accident
0.7183,-0.2610,0.4231,0.8735,0.6211,accident
-0.4106,-0.8472,0.6011,1.1170,0.2435,accident
0.5952,-0.0571,0.4966,0.7773,0.3397,accident
0.4790,-0.6089,1.1616,1.3963,0.6190,accident
-1.5005,0.6284,0.0796,1.6287,0.2325,accident
1.9999,-2.0000,1.9999,3.4640,1.8353,accident
0.0054,0.0786,0.8706,0.8742,2.5899,accident
-1.3254,0.4558,0.0576,1.4028,0.5286,accident
1.9999,-2.0000,1.9999,3.4640,2.0612,accident
-0.0325,0.0945,0.6733,0.6807,2.7833,accident
-1.7043,1.3760,-0.4609,2.2384,1.5577,accident
0.0405,-0.6333,1.5205,1.6476,0.5908,accident
-0.8386,0.5310,0.2617,1.0265,0.6211,accident
1.1179,-2.0000,1.4868,2.7314,1.7048,accident
-0.1990,-0.0859,0.4609,0.5094,2.2220,accident
