ax,ay,az,accTotal,accChange,label
0.3684,-0.9192,0.4575,1.0909,0.0450,normal
0.4390,-0.9951,0.2939,1.1267,0.0358,normal
0.4900,-1.0005,0.3435,1.1658,0.0391,normal
0.4548,-0.9146,0.2590,1.0537,0.1120,normal
0.2285,-0.4648,0.0806,0.5242,0.5295,normal
0.5442,-0.7375,0.2231,0.9434,0.4191,normal
0.8428,-1.0049,0.3416,1.3553,0.4119,normal
0.8313,-0.7446,0.1560,1.1269,0.2284,normal
0.5508,-0.7871,0.3411,1.0194,0.1075,normal
0.4302,-0.5579,0.5811,0.9132,0.1063,normal
0.3809,-0.3877,0.7583,0.9329,0.0198,normal
0.1353,-0.3379,0.9871,1.0520,0.1191,normal
0.0437,-0.4395,0.8660,0.9721,0.0799,normal
0.3914,-0.6558,0.6218,0.9848,0.0127,normal
0.6152,-0.7708,0.6848,1.2006,0.2158,normal
0.6438,-0.6016,0.7566,1.1614,0.0393,normal
0.1072,-0.3958,0.9648,1.0483,0.1130,normal
-0.2944,-0.0654,1.0271,1.0705,0.0221,normal
-0.2952,0.0640,0.9285,0.9764,0.0941,normal
-0.0237,-0.1362,0.8977,0.9083,0.0681,normal
0.4539,-0.5925,0.7957,1.0909,0.1826,normal
0.6475,-0.7468,0.8921,1.3315,0.2405,normal
0.5205,-0.5095,1.0811,1.3035,0.0279,normal
-0.3721,0.1633,0.9700,1.0516,0.2519,normal
-0.1504,0.2749,0.8555,0.9111,0.1406,normal
-0.0125,-0.2029,0.6333,0.6651,0.2459,normal
0.4934,-0.7173,0.8064,1.1867,0.5216,normal
0.4314,-0.3079,1.0620,1.1869,0.0002,normal
0.2878,-0.2388,0.9131,0.9867,0.2002,normal
0.1675,0.2424,1.0811,1.1205,0.1338,normal
0.1936,-0.0317,0.8335,0.8563,0.2642,normal
-0.0295,-0.6396,1.0710,1.2479,0.3916,normal
0.3760,-0.2434,0.9827,1.0799,0.1679,normal
0.3596,-0.1067,0.8667,0.9444,0.1355,normal
0.1589,-0.0840,0.9402,0.9572,0.0128,normal
0.2263,-0.0940,0.9758,1.0061,0.0489,normal
0.2769,-0.1919,0.8604,0.9239,0.0822,normal
0.1973,-0.0515,1.0874,1.1064,0.1824,normal
0.2004,0.0681,1.1636,1.1827,0.0763,normal
0.3667,-0.0483,0.9133,0.9854,0.1973,normal
-0.5371,-0.1592,0.6729,0.8755,0.1099,normal
-0.0884,-0.0840,0.8872,0.8955,0.0200,normal
0.3333,-0.1350,1.1902,1.2433,0.3478,normal
0.3652,-0.2192,1.0698,1.1515,0.0918,normal
0.5815,-0.0901,1.0261,1.1829,0.0314,normal
0.1599,-0.1191,0.7637,0.7893,0.3936,normal
0.0544,-0.1262,1.0713,1.0801,0.2908,normal
-0.0027,-0.1348,0.7480,0.7601,0.3200,normal
0.4729,-0.3013,1.1865,1.3123,0.5522,normal
0.5520,-0.0796,1.1602,1.2872,0.0251,normal
0.4128,0.0940,1.1321,1.2087,0.0786,normal
0.3513,0.2024,1.0234,1.1008,0.1078,normal
0.5566,0.2332,0.9685,1.1411,0.0403,normal
0.3613,0.3906,0.9375,1.0780,0.0632,normal
0.2136,0.5532,0.6750,0.8985,0.1794,normal
0.1477,0.7166,0.6118,0.9537,0.0552,normal
0.2390,0.9802,0.6606,1.2060,0.2523,normal
0.2461,0.8604,0.5847,1.0690,0.1370,normal
0.0217,0.6418,0.5078,0.8187,0.2502,normal
0.3875,0.4189,0.7412,0.9354,0.1167,normal
0.6760,0.1470,0.5405,0.8779,0.0575,normal
0.3108,0.3816,0.9470,1.0673,0.1893,normal
0.4915,0.4753,1.0261,1.2330,0.1658,normal
0.4128,0.1885,0.6257,0.7730,0.4601,normal
0.5500,0.4617,0.5605,0.9110,0.1380,normal
0.7004,0.4631,0.6021,1.0332,0.1222,normal
1.2354,0.4021,0.7415,1.4958,0.4626,normal
0.5286,0.5779,0.3770,0.8691,0.6267,normal
0.3074,0.3171,0.5125,0.6765,0.1926,normal
0.8267,0.4487,0.6133,1.1229,0.4464,normal
0.5989,0.4221,0.8362,1.1118,0.0111,normal
0.8491,0.7285,1.0527,1.5362,0.4245,normal
0.5210,0.4023,1.0361,1.2276,0.3087,normal
0.2703,0.3301,0.7434,0.8571,0.3704,normal
0.1086,0.7151,0.6848,0.9961,0.1389,normal
0.6086,0.6321,0.8193,1.2005,0.2045,normal
0.8799,0.5798,0.8281,1.3402,0.1397,normal
